151   59.149110 7.720E-84 3.549E-02.05160.21830912.89310.58-.001455             14             14                    R  4      255453 9 4 2 1 2 4    88.0   72.0
151   59.373086 3.330E-89 2.471E-02.04130.18733413.42660.35-.004017             16             16                    R  5      255453 9 4 2 1 2 4   104.0   88.0
151   60.463455 2.074E-91 1.859E-02.03170.15434424.90660.40-.005583             17             17                    R  6      255453 9 4 2 1 2 4   120.0  104.0
151   60.760812 5.718E-25 3.914E-02.06890.247 2946.77480.720.001561              1              1                    R  2      485453 9 4 2 1 2 4    56.0   40.0
151   61.612617 1.109E-65 5.320E-02.05990.24122344.12620.710.002769              9              9                    R  3      255454 9 4 2 1 2 3    72.0   56.0
151   62.583641 2.863E-20 5.788E-03.06890.247   62.62240.720.001556              0              0            3.5     R  2   3.568545310 4 2 1 2 4    16.0   16.0
151   62.583898 1.432E-21 3.859E-04.06890.247   62.62240.720.001556              0              0            2.5     R  2   3.568545310 4 2 1 2 4    12.0   16.0
151   62.584068 7.015E-20 2.836E-02.06890.247   62.62270.720.001556              0              0            1.5     R  2   0.568545310 4 2 1 2 4     8.0    4.0
151   62.584070 1.122E-19 3.025E-02.06890.247   62.62220.720.001556              0              0            2.5     R  2   1.568545310 4 2 1 2 4    12.0    8.0
151   62.584211 1.718E-19 3.473E-02.06890.247   62.62180.720.001556              0              0            3.5     R  2   2.568545310 4 2 1 2 4    16.0   12.0
151   62.584213 2.505E-19 4.052E-02.06890.247   62.62240.720.001556              0              0            4.5     R  2   3.568545310 4 2 1 2 4    20.0   16.0
151   62.584468 3.665E-20 9.878E-03.06890.247   62.62180.720.001556              0              0            2.5     R  2   2.568545310 4 2 1 2 4    12.0   12.0
151   62.584629 2.806E-20 1.135E-02.06890.247   62.62220.720.001556              0              0            1.5     R  2   1.568545310 4 2 1 2 4     8.0    8.0
151   62.585028 2.004E-21 8.107E-04.06890.247   62.62180.720.001556              0              0            1.5     R  2   2.568545310 4 2 1 2 4     8.0   12.0
151   63.171202 1.124E-80 4.844E-02.05160.21829463.04010.58-.001464             13             13                    R  4      255453 9 4 2 1 2 4    88.0   72.0
151   64.109612 2.568E-61 6.014E-02.05990.24120292.34190.710.002769              8              8                    R  3      255454 9 4 2 1 2 3    72.0   56.0
151   65.458658 1.279E-86 4.148E-02.04130.18732272.82720.35-.004031             15             15                    R  5      255453 9 4 2 1 2 4   104.0   88.0
151   66.556766 9.828E-57 6.668E-02.05990.24118133.80540.710.002769              7              7                    R  3      275454 9 4 2 1 2 3    72.0   56.0
151   66.889057 2.981E-77 6.239E-02.05160.21827879.81570.58-.001472             12             12                    R  4      255453 9 4 2 1 2 4    88.0   72.0
151   68.590198 2.189E-91 2.685E-02.02460.12334485.37010.29-.005966             17             17                    R  7      255453 9 4 2 1 2 4   136.0  120.0
151   68.963689 3.805E-89 3.877E-02.03170.15433472.79970.40-.005602             16             16                    R  6      255453 9 4 2 1 2 4   120.0  104.0
151   68.972954 6.174E-52 7.278E-02.05990.24115870.43960.710.002769              6              6                    R  3      375454 9 4 2 1 2 3    72.0   56.0
151   70.384216 1.397E-73 7.688E-02.05160.21826171.75510.58-.001480             11             11                    R  4      255453 9 4 2 1 2 4    88.0   72.0
151   70.809819 9.661E-84 6.160E-02.04130.18730972.04220.35-.004043             14             14                    R  5      255453 9 4 2 1 2 4   104.0   88.0
151   71.370093 6.343E-47 7.839E-02.05990.24113503.44700.710.002769              5              5                    R  3      375454 9 4 2 1 2 3    72.0   56.0
151   73.714096 1.129E-69 9.150E-02.05160.21824345.40420.58-.001488             10             10                    R  4      255453 9 4 2 1 2 4    88.0   72.0
151   73.758637 1.064E-41 8.349E-02.05990.24111033.58610.710.002769              4              4                    R  3      375454 9 4 2 1 2 3    72.0   56.0
151   75.649334 1.380E-80 8.427E-02.04130.18729526.21130.35-.004054             13             13                    R  5      255453 9 4 2 1 2 4   104.0   88.0
151   76.107280 1.423E-86 6.550E-02.03170.15432338.28590.40-.005618             15             15                    R  6      255453 9 4 2 1 2 4   120.0  104.0
151   76.147804 2.915E-36 8.813E-02.05990.241 8461.12100.710.002769              3              3                    R  3      475454 9 4 2 1 2 3    72.0   56.0
151   76.502093 2.109E-91 3.668E-02.01910.10634553.96040.30-.006250             17             17                    R  8      255453 9 4 2 1 2 4   152.0  136.0
151   76.923979 1.546E-65 1.059E-01.05160.21822405.73880.58-.001495              9              9                    R  4      255453 9 4 2 1 2 4    88.0   72.0
151   78.410462 3.890E-89 5.683E-02.02460.12333541.76340.29-.005988             16             16                    R  7      255453 9 4 2 1 2 4   136.0  120.0
151   78.544918 1.307E-30 9.232E-02.05990.241 5785.92400.710.002769              2              2                    R  3      475454 9 4 2 1 2 3    72.0   56.0
151   80.046299 3.534E-61 1.197E-01.05160.21820356.45150.58-.001502              8              8                    R  4      255453 9 4 2 1 2 4    88.0   72.0
