131    0.118300 1.930E-64 3.329E-10.08600.00019017.79520.660.000000       X3/2   6       X3/2   6                QQ  2.5fe     242010 5 2 2 0 1 0    12.0   12.0
131    0.119100 1.011E-66 1.610E-11.04000.00019616.25610.660.000000       X1/2   6       X1/2   6                QQ  5.5ef     232010 5 2 2 0 1 0    24.0   24.0
131    0.120050 4.360E-59 4.864E-10.09500.00016330.52330.660.000000       X1/2   5       X1/2   5                QQ  0.5fe     242010 5 2 2 0 1 0     4.0    4.0
131    0.128260 7.262E-53 6.086E-10.09500.00013415.81990.660.000000       X1/2   4       X1/2   4                QQ  0.5fe     242010 5 2 2 0 1 0     4.0    4.0
131    0.131610 1.530E-58 4.653E-10.08600.00016270.23870.660.000000       X3/2   5       X3/2   5                QQ  2.5fe     242010 5 2 2 0 1 0    12.0   12.0
131    0.136120 2.572E-46 7.303E-10.09500.00010338.61740.660.000000       X1/2   3       X1/2   3                QQ  0.5fe     342010 5 2 2 0 1 0     4.0    4.0
131    0.140290 8.570E-61 2.857E-11.04000.00016892.33550.660.000000       X1/2   5       X1/2   5                QQ  5.5ef     242010 5 2 2 0 1 0    24.0   24.0
131    0.141209 4.764E-40 8.129E-10.09500.000 7098.83270.660.000000       X1/2   2       X1/2   2            0.0 QQ  0.5fe  1.0603010 4 4 2 0 1 0     1.0    3.0
131    0.142460 2.251E-76 4.663E-11.05300.00024287.25020.660.000000       X1/2   8       X1/2   8                QQ  3.5fe     232010 5 2 2 0 1 0    16.0   16.0
131    0.144098 9.921E-40 5.758E-10.09500.000 7098.83270.660.000000       X1/2   2       X1/2   2            1.0 QQ  0.5fe  1.0603010 4 4 2 0 1 0     3.0    3.0
131    0.144718 5.003E-40 2.916E-10.09500.000 7098.83210.660.000000       X1/2   2       X1/2   2            1.0 QQ  0.5fe  0.0603010 4 4 2 0 1 0     3.0    1.0
131    0.144990 2.627E-52 6.296E-10.08600.00013359.05260.660.000000       X3/2   4       X3/2   4                QQ  2.5fe     242010 5 2 2 0 1 0    12.0   12.0
131    0.148405 8.029E-33 9.411E-10.09500.000 3695.35710.660.000000       X1/2   1       X1/2   1            0.0 QQ  0.5fe  1.0603010 4 4 2 0 1 0     1.0    3.0
