                                                  
                                                                                                                                                                                                                                                                
       DIST           DE_HF    DE_MULTI       DE_CI         DIP
     5.84673367   -7.82D-03   -2.63D-03       -0.14   5.42900954D-05
     5.89447236   -7.15D-03   -2.08D-03       -0.13   5.25426864D-05
     5.94221106   -6.57D-03   -1.66D-03       -0.12   5.08658918D-05
     5.98994975   -6.06D-03   -1.32D-03       -0.12   4.92562749D-05
     6.03768844   -5.61D-03   -1.07D-03       -0.11   4.77102824D-05
     6.08542714   -5.20D-03   -8.67D-04       -0.10   4.62249680D-05
     6.13316583   -4.84D-03   -7.12D-04       -0.10   4.47972605D-05
     6.18090452   -4.55D-03   -6.26D-04       -0.09   4.34246662D-05
     6.22864322   -4.25D-03   -5.32D-04       -0.09   4.21044670D-05
     6.27638191   -3.96D-03   -4.35D-04       -0.09   4.08343522D-05
     6.32412060   -3.72D-03   -3.82D-04       -0.08   3.96120151D-05
     6.37185930   -3.49D-03   -3.37D-04       -0.08   3.84351365D-05
     6.41959799   -3.31D-03   -3.29D-04       -0.07   3.73017799D-05
     6.46733668   -3.08D-03   -2.62D-04       -0.07   3.62101498D-05
     6.51507538   -2.91D-03   -2.49D-04       -0.07   3.51583097D-05
     6.56281407   -2.75D-03   -2.34D-04       -0.06   3.41443564D-05
     6.61055276   -2.59D-03   -2.11D-04       -0.06   3.31668343D-05
     6.65829146   -2.46D-03   -2.11D-04       -0.06   3.22241426D-05
     6.70603015   -2.30D-03   -1.79D-04       -0.06   3.13146646D-05
     6.75376884   -2.18D-03   -1.82D-04       -0.06   3.04506659D-05
     6.80150754   -2.05D-03   -1.61D-04       -0.06   2.96037147D-05
     6.84924623   -1.94D-03   -1.47D-04       -0.05   2.87858727D-05
     6.89698492   -1.81D-03   -1.20D-04       -0.05   2.79959967D-05
     6.94472362   -1.74D-03   -1.28D-04       -0.05   2.72331293D-05
     6.99246231   -1.66D-03   -1.35D-04       -0.05   2.64960366D-05
     7.04020101   -1.53D-03   -9.62D-05       -0.05   2.57834637D-05
     7.08793970   -1.50D-03   -1.35D-04       -0.04   2.50947309D-05
     7.13567839   -1.40D-03   -1.12D-04       -0.04   2.44289709D-05
     7.18341709   -1.35D-03   -1.19D-04       -0.04   2.37852394D-05
     7.23115578   -1.26D-03   -9.88D-05       -0.04   2.31624619D-05
     7.27889447   -1.21D-03   -1.04D-04       -0.04   2.25601452D-05
     7.32663317   -1.12D-03   -7.45D-05       -0.04   2.19774078D-05
     7.37437186   -1.05D-03   -5.90D-05       -0.04   2.14131785D-05
     7.42211055   -1.02D-03   -6.66D-05       -0.03   2.08671324D-05
     7.46984925   -9.65D-04   -7.17D-05       -0.03   2.03383704D-05
     7.51758794   -9.30D-04   -7.86D-05       -0.03   1.98262472D-05
     7.56532663   -8.67D-04   -6.15D-05       -0.03   1.93301797D-05
     7.61306533   -8.48D-04   -7.75D-05       -0.03   1.88496057D-05
     7.66080402   -8.17D-04   -8.45D-05       -0.03   1.83837401D-05
     7.70854271   -7.60D-04   -6.77D-05       -0.03   1.79321307D-05
     7.75628141   -7.40D-04   -7.62D-05       -0.03   1.74944110D-05
     7.80402010   -7.04D-04   -7.41D-05       -0.03   1.70700823D-05
     7.85175879   -6.65D-04   -6.35D-05       -0.02   1.66583034D-05
     7.89949749   -6.16D-04   -4.12D-05       -0.02   1.62588945D-05
     7.94723618   -5.90D-04   -4.56D-05       -0.02   1.58714494D-05
     7.99497487   -5.80D-04   -5.79D-05       -0.02   1.54954304D-05
     8.04271357   -5.32D-04   -3.27D-05       -0.02   1.51305990D-05
     8.09045226   -5.26D-04   -5.33D-05       -0.02   1.47764011D-05
     8.13819095   -4.92D-04   -4.36D-05       -0.02   1.44324102D-05
     8.18592965   -4.65D-04   -3.70D-05       -0.02   1.40984018D-05
     8.23366834   -4.58D-04   -4.53D-05       -0.02   1.37739914D-05
     8.28140704   -4.35D-04   -4.47D-05       -0.02   1.34589224D-05
     8.32914573   -4.33D-04   -5.08D-05       -0.02   1.31528622D-05
     8.37688442   -3.77D-04   -1.77D-05       -0.02   1.28553883D-05
     8.42462312   -3.77D-04   -4.00D-05       -0.02   1.25661937D-05
     8.47236181   -3.70D-04   -4.51D-05       -0.02   1.22852429D-05
     8.52010050   -3.22D-04   -1.47D-05       -0.02   1.20120023D-05
     8.56783920   -3.30D-04   -3.81D-05       -0.02   1.17463993D-05
     8.61557789   -3.02D-04   -1.22D-05       -0.01   1.14879900D-05
     8.66331658   -3.14D-04   -3.75D-05       -0.01   1.12366658D-05
     8.71105528   -2.88D-04   -3.00D-05       -0.01   1.09921819D-05
     8.75879397   -2.84D-04   -3.45D-05       -0.01   1.07543475D-05
     8.80653266   -2.91D-04   -4.69D-05       -0.01   1.05228530D-05
     8.85427136   -2.44D-04   -1.30D-05       -0.01   1.02975719D-05
     8.90201005   -2.37D-04   -1.36D-05       -0.01   1.00784392D-05
     8.94974874   -2.24D-04   -1.46D-05       -0.01   9.86498208D-06
     8.99748744   -2.43D-04   -3.70D-05       -0.01   9.65727636D-06
     9.04522613   -1.88D-04   -3.81D-07       -0.01   9.45483476D-06
     9.09296482   -2.12D-04   -2.55D-05       -0.01   9.25767285D-06
     9.14070352   -2.20D-04   -3.66D-05       -0.01   9.06567337D-06
     9.18844221   -1.72D-04    1.01D-06       -0.01   8.87868455D-06
     9.23618090   -1.74D-04   -1.16D-05       -0.01   8.69648753D-06
     9.28391960   -1.88D-04   -3.28D-05       -0.01   8.51893056D-06
     9.33165829   -1.64D-04   -1.07D-05       -0.01   8.34620628D-06
     9.37939698   -1.68D-04   -2.46D-05       -0.01   8.17707221D-06
     9.42713568   -1.69D-04   -3.01D-05       -0.01   8.01213293D-06
     9.47487437   -1.71D-04   -3.92D-05       -0.01   7.85211858D-06
     9.52261307   -1.40D-04   -8.91D-06       -0.01   7.69539714D-06
     9.57035176   -1.42D-04   -2.41D-05       -0.01   7.54323936D-06
     9.61809045   -1.25D-04   -1.06D-05       -0.01   7.39417686D-06
     9.66582915   -1.02D-04    7.66D-06       -0.01   7.24944225D-06
     9.71356784   -1.08D-04   -6.46D-07       -0.01   7.10752593D-06
     9.76130653   -1.37D-04   -3.27D-05       -0.01   6.96976530D-06
     9.80904523   -1.06D-04   -8.86D-06       -0.01   6.83467041D-06
     9.85678392   -1.02D-04   -2.70D-06       -0.01   6.70362835D-06
     9.90452261   -1.11D-04   -1.93D-05       -0.01   6.57478736D-06
     9.95226131   -1.21D-04   -3.11D-05       -0.01   6.44993761D-06
    10.00000000   -9.68D-05   -1.30D-05       -0.01   6.32720770D-06
                                                  
